ds,holiday,lower_window,upper_window
12/31/10,New Years Day,-1,0
1/17/11,Martin Luther King Jr Day,0,0
2/21/11,Washingtons Birthday,0,0
5/30/11,Memorial Day,-2,0
7/4/11,Independence Day,0,0
9/5/11,Labor Day,-2,0
10/10/11,Columbus Day,0,0
11/11/11,Veterans Day,0,0
11/24/11,Thanksgiving Day,-1,3
12/26/11,Christmas Day,-1,0
1/2/12,New Years Day,-1,0
1/16/12,Martin Luther King Jr Day,0,0
2/20/12,Washingtons Birthday,0,0
5/28/12,Memorial Day,-2,0
7/4/12,Independence Day,0,0
9/3/12,Labor Day,-2,0
10/8/12,Columbus Day,0,0
11/12/12,Veterans Day,0,0
11/22/12,Thanksgiving Day,-1,3
12/25/12,Christmas Day,-1,0
1/1/13,New Years Day,-1,0
1/21/13,Martin Luther King Jr Day,0,0
2/18/13,Washingtons Birthday,0,0
5/27/13,Memorial Day,-2,0
7/4/13,Independence Day,0,0
9/2/13,Labor Day,-2,0
10/14/13,Columbus Day,0,0
11/11/13,Veterans Day,0,0
11/28/13,Thanksgiving Day,-1,3
12/25/13,Christmas Day,-1,0
1/1/14,New Years Day,-1,0
1/20/14,Martin Luther King Jr Day,0,0
2/17/14,Washingtons Birthday,0,0
5/26/14,Memorial Day,-2,0
7/4/14,Independence Day,0,0
9/1/14,Labor Day,-2,0
10/13/14,Columbus Day,0,0
11/11/14,Veterans Day,0,0
11/27/14,Thanksgiving Day,-1,3
12/25/14,Christmas Day,-1,0
1/1/15,New Years Day,-1,0
1/19/15,Martin Luther King Jr Day,0,0
2/16/15,Washingtons Birthday,0,0
5/25/15,Memorial Day,-2,0
7/3/15,Independence Day,0,0
9/7/15,Labor Day,-2,0
10/12/15,Columbus Day,0,0
11/11/15,Veterans Day,0,0
11/26/15,Thanksgiving Day,-1,3
12/25/15,Christmas Day,-1,0
1/1/16,New Years Day,-1,0
1/18/16,Martin Luther King Jr Day,0,0
2/15/16,Washingtons Birthday,0,0
5/30/16,Memorial Day,-2,0
7/4/16,Independence Day,0,0
9/5/16,Labor Day,-2,0
10/10/16,Columbus Day,0,0
11/11/16,Veterans Day,0,0
11/24/16,Thanksgiving Day,-1,3
12/26/16,Christmas Day,-1,0
1/2/17,New Years Day,-1,0
1/16/17,Martin Luther King Jr Day,0,0
2/20/17,Washingtons Birthday,0,0
5/29/17,Memorial Day,-2,0
7/4/17,Independence Day,0,0
9/4/17,Labor Day,-2,0
10/9/17,Columbus Day,0,0
11/10/17,Veterans Day,0,0
11/23/17,Thanksgiving Day,-1,3
12/25/17,Christmas Day,-1,0
1/1/18,New Years Day,-1,0
1/15/18,Martin Luther King Jr Day,0,0
2/19/18,Washingtons Birthday,0,0
5/28/18,Memorial Day,-2,0
7/4/18,Independence Day,0,0
9/3/18,Labor Day,-2,0
10/8/18,Columbus Day,0,0
11/12/18,Veterans Day,0,0
11/22/18,Thanksgiving Day,-1,3
12/25/18,Christmas Day,-1,0
1/1/19,New Years Day,-1,0
1/21/19,Martin Luther King Jr Day,0,0
2/18/19,Washingtons Birthday,0,0
5/27/19,Memorial Day,-2,0
7/4/19,Independence Day,0,0
9/2/19,Labor Day,-2,0
10/14/19,Columbus Day,0,0
11/11/19,Veterans Day,0,0
11/28/19,Thanksgiving Day,-1,3
12/25/19,Christmas Day,-1,0
1/1/20,New Years Day,-1,0
1/20/20,Martin Luther King Jr Day,0,0
2/17/20,Washingtons Birthday,0,0
5/25/20,Memorial Day,-2,0
7/3/20,Independence Day,0,0
9/7/20,Labor Day,-2,0
10/12/20,Columbus Day,0,0
11/11/20,Veterans Day,0,0
11/26/20,Thanksgiving Day,-1,3
12/25/20,Christmas Day,-1,0
1/1/10,New Years Day,-1,0
1/18/10,Martin Luther King Jr Day,0,0
2/15/10,Washingtons Birthday,0,0
5/31/10,Memorial Day,-2,0
7/5/10,Independence Day,0,0
9/6/10,Labor Day,-2,0
10/11/10,Columbus Day,0,0
11/11/10,Veterans Day,0,0
11/25/10,Thanksgiving Day,-1,3
12/25/10,Christmas Day,-1,0
1/1/09,New Years Day,-1,0
1/19/09,Martin Luther King Jr Day,0,0
2/16/09,Washingtons Birthday,0,0
5/25/09,Memorial Day,-2,0
7/3/09,Independence Day,0,0
9/7/09,Labor Day,-2,0
10/12/09,Columbus Day,0,0
11/11/09,Veterans Day,0,0
11/26/09,Thanksgiving Day,-1,3
12/25/09,Christmas Day,-1,0
1/1/08,New Years Day,-1,0
1/21/08,Martin Luther King Jr Day,0,0
2/18/08,Washingtons Birthday,0,0
5/26/08,Memorial Day,-2,0
7/4/08,Independence Day,0,0
9/1/08,Labor Day,-2,0
10/13/08,Columbus Day,0,0
11/11/08,Veterans Day,0,0
11/27/08,Thanksgiving Day,-1,3
12/25/08,Christmas Day,-1,0
1/1/07,New Years Day,-1,0
1/15/07,Martin Luther King Jr Day,0,0
2/19/07,Washingtons Birthday,0,0
5/28/07,Memorial Day,-2,0
7/4/07,Independence Day,0,0
9/3/07,Labor Day,-2,0
10/8/07,Columbus Day,0,0
11/11/07,Veterans Day,0,0
11/22/07,Thanksgiving Day,-1,3
12/25/07,Christmas Day,-1,0
1/1/06,New Years Day,-1,0
1/16/06,Martin Luther King Jr Day,0,0
2/20/06,Washingtons Birthday,0,0
5/29/06,Memorial Day,-2,0
7/4/06,Independence Day,0,0
9/4/06,Labor Day,-2,0
10/9/06,Columbus Day,0,0
11/11/06,Veterans Day,0,0
11/23/06,Thanksgiving Day,-1,3
12/25/06,Christmas Day,-1,0
1/1/05,New Years Day,-1,0
1/17/05,Martin Luther King Jr Day,0,0
2/21/05,Washingtons Birthday,0,0
5/30/05,Memorial Day,-2,0
7/4/05,Independence Day,0,0
9/5/05,Labor Day,-2,0
10/10/05,Columbus Day,0,0
11/11/05,Veterans Day,0,0
11/24/05,Thanksgiving Day,-1,3
12/25/05,Christmas Day,-1,0
1/1/04,New Years Day,-1,0
1/19/04,Martin Luther King Jr Day,0,0
2/16/04,Washingtons Birthday,0,0
5/31/04,Memorial Day,-2,0
7/4/04,Independence Day,0,0
9/6/04,Labor Day,-2,0
10/11/04,Columbus Day,0,0
11/11/04,Veterans Day,0,0
11/25/04,Thanksgiving Day,-1,3
12/25/04,Christmas Day,-1,0
1/1/03,New Years Day,-1,0
1/20/03,Martin Luther King Jr Day,0,0
2/17/03,Washingtons Birthday,0,0
5/26/03,Memorial Day,-2,0
7/4/03,Independence Day,0,0
9/1/03,Labor Day,-2,0
10/13/03,Columbus Day,0,0
11/11/03,Veterans Day,0,0
11/27/03,Thanksgiving Day,-1,3
12/25/03,Christmas Day,-1,0
1/1/02,New Years Day,-1,0
1/21/02,Martin Luther King Jr Day,0,0
2/18/02,Washingtons Birthday,0,0
5/27/02,Memorial Day,-2,0
7/4/02,Independence Day,0,0
9/2/02,Labor Day,-2,0
10/14/02,Columbus Day,0,0
11/11/02,Veterans Day,0,0
11/28/02,Thanksgiving Day,-1,3
12/25/02,Christmas Day,-1,0
9/5/11,State Fair,-12,0
9/3/12,State Fair,-12,0
9/2/13,State Fair,-12,0
9/1/14,State Fair,-12,0
9/7/15,State Fair,-12,0
9/5/16,State Fair,-12,0
9/4/17,State Fair,-12,0
9/3/18,State Fair,-12,0
9/2/19,State Fair,-12,0
9/7/20,State Fair,-12,0
9/6/10,State Fair,-12,0
9/7/09,State Fair,-12,0
9/1/08,State Fair,-12,0
9/3/07,State Fair,-12,0
9/4/06,State Fair,-12,0
9/5/05,State Fair,-12,0
9/6/04,State Fair,-12,0
9/1/03,State Fair,-12,0
9/2/02,State Fair,-12,0
4/23/11,Easter,-2,0
8/22/10,Easter,-2,0
12/23/10,Easter,-2,0
1/24/11,Easter,-2,0
4/27/10,Easter,-2,0
8/26/10,Easter,-2,0
9/27/10,Easter,-2,0
1/28/10,Easter,-2,0
5/1/10,Easter,-2,0
6/1/10,Easter,-2,0
10/1/09,Easter,-2,0
6/3/11,Easter,-2,0
2/2/10,Easter,-2,0
1/3/11,Easter,-2,0
2/4/11,Easter,-2,0
11/5/09,Easter,-2,0
9/6/10,Easter,-2,0
10/8/10,Easter,-2,0
7/10/09,Easter,-2,0
3/12/11,Easter,-2,0
6/12/10,Easter,-2,0